District_Name,Area,Production
Ambala,720007,622219.2
Bhiwani,1872251,2047905.7
Faridabad,1463707,2080262.5
Gurugram,2361199,3938172.3
Hisar,550656,556928.9
Jhajar,1349348,2068288.8
Jind,349158,337630.1
kaithal,774462,1048906
karnal,321976,389759.7
kurushetra,2126176,2690376.3
mahendragargh,832269,1095936.6
Nuh,1035244,1247037.9
Palwal,344029,330153.2
panchkula,1941421,2394944.5
panipat,350138,362701.9
rewari,1138246,1253401.8
rohtak,1243351,1383709.8
sirsa,815055,1016574.8
sonipat,1051768,2013974
yamunanagar,760658,716720.6
Charkhi dadri,2078364,2340308.2
Fatehbad,1443499,2326787
