District_name,Area,Production,Rain_Fall,Temp,Humidity
Ambala,623000,535000,1274.78,27.02916667,73.275
Bhiwani,1639000,1751000,1412.3,27.12,71.43333333
Faridabad,1420000,2026000,1246.26,26.00333849,75.275
Gurugram,2146000,3601000,1339.7,27.34,71.15833333
Hisar,506000,539000,1322.14,27.6,76.54333333
Jhajar,1052000,1366000,1261.32,26.61118056,70.35902369
Jind,322000,312000,1637.34,27.57,80.05
kaithal,715000,898000,1205.66,27.74669211,78.45642021
karnal,242000,273400,1398.96,27.355,75.4212963
kurushetra,1804000,2653000,1318.48,27.63,69.93333333
mahendragargh,625000,886000,1198.16,26.68972222,67.45378472
Nuh,864000,989000,1360.8,25.42,70.325
Palwal,330000,299000,1418.12,25.6055347,75.79577206
panchkula,1790000,2265000,1386.9,27.43002451,75.67884528
panipat,308000,321000,1505.94,27.13284722,76.35069036
rewari,955000,1074000,1543.36,25.3575,77.03333333
rohtak,1200000,1318000,1421.38,27.50916667,77.06333333
sirsa,726000,893000,1469.28,27.18,73.395
sonipat,811000,1029000,1367.72,26.06430921,67.78645833
yamunanagar,653000,657000,1315.4,26.90803255,73.10454044
Charkhi dadri,2032000,2299000,1417.18,26.87286269,65.03523944
Fatehbad,1077000,1118000,1386.26,26.58943805,71.99024806
