District ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ambala,28.3,0,45.9,80.4,57.2,232,120.6,271.8,366,52.7,59.8,0,1314.7
Bhiwani,26.4,0,0,44,40.7,143.1,124.9,266.7,278.8,53.7,83.3,0,1061.6
Faridabad,6.2,0,3.8,7.2,35.9,148.9,120.4,337.6,156.7,14.3,0,0,831
Grurgram,37.5,0,9.8,13.5,48.9,223.4,103.6,428.5,243.6,9.7,0,0,1118.5
Hisar,19.6,0,5.1,19.4,69,170.3,181.8,332.3,181.1,40.3,23.7,0,1042.6
Jhajar,24.5,0,4.8,3.3,63.3,100.3,190.8,279.5,223.6,60.4,96.8,0,1047.3
Jin,26.3,0,0,28,51,209.4,154.9,287.5,209.4,22.9,0,0,989.4
Kaithal,17.4,0,0.8,25.7,33.2,147.5,95.9,229.3,175.6,41.9,96.6,0,863.9
Karnal,12.8,0,6.1,28.7,104.7,208.7,143.1,323.4,165.3,22.8,4.9,0,1020.5
Krurshetra,5.4,0,6.1,23.6,86.5,132.6,66.4,330.6,243.4,4.7,2,0,901.3
Mahendragargh,16.5,0.1,6.1,36.7,90.6,111.6,152.9,256.2,142,137,2.5,0,952.2
Nuh,23.7,0,4.8,37.2,91.2,193.2,134.9,222.2,125.5,117.1,2.3,0,952.1
Palwal,0,0,2.2,16.5,67.1,175.7,124,371.2,111.8,12.9,0,0,881.4
Panchkula,2.5,0.4,10.6,9.6,32,149.9,115.2,256.1,81.1,12.6,0,0,670
Panipat,20.6,0.4,12.7,29.1,40,156.3,191.7,261.1,210.1,25.9,4.1,0,952
Rewari,10.3,0,0,15,25.3,194.7,208.9,350.8,117.4,90.1,0,0,1012.5
Rohtak,1.2,0,0,10.7,14.5,167.8,158.8,399.5,107.9,83.6,0,0,944
Sirsa,9.4,0.2,1.8,25.9,36.3,207.3,210.6,378.3,101.1,30,0,0,1000.9
Sonipat,20.5,0,12.6,28.8,64.9,124.9,133.8,320.8,90.8,104.9,1.3,0,903.3
Yamunanagar,22.1,0.3,30.3,37.8,73.2,193.2,117.4,294,311.4,55.2,18.8,0,1153.7
Charkhi dadri,21.2,0.3,29.5,61.4,102.9,128.8,131.4,569.2,190.9,50,0,0,1285.6
Fatehbad,19.7,0,10.2,14.4,66.4,241.5,126.6,467.6,240.7,20.8,0,0,1207.9
State Average,14.5,0.1,8.5,22.9,57.4,168.5,142.5,335.5,197.2,45.5,15.2,0,1007.8
