"","Name.of.the.Stations","Jan.Max.","Jan.Min.","Feb.Max.","Feb.Min.","Mar.Max.","Mar.Min.","Apr.Max.","Apr.Min.","May.Max.","May.Min.","Jun.Max.","Jun.Min.","Jul.Max.","Jul.Min.","Aug.Max.","Aug.Min.","Sep.Max.","Sep.Min.","Oct.Max.","Oct.Min.","Nov.Max.","Nov.Min.","Dec.Max.","Dec.Min."
"1","Ambala",29,13,34,17,34,21,35,25,35,25,34,26,33,26,31,25,33,25,33,24,31,19,29,15
"2","Bhiwani",28,13,34,17,36,20,38,24,37,24,36,25,33,24,31,23,33,24,33,22,30,18,29,13
"3","Faridabad",30,13,36,16,36,20,37,23,36,23,35,23,33,23,31,22,33,22,34,20,31,16,30,16
"4","Gurugram",30,17,31,21,33,24,33,27,34,27,33,27,32,27,30,26,32,27,34,25,31,22,29,19
"5","Hisar",30,15,36,19,36,23,37,26,36,26,35,26,33,26,31,25,33,26,33,24,31,20,31,17
"6","Jhajar",29,17,31,19,31,23,31,26,33,27,32,27,32,27,30,26,32,26,34,24,30,21,29,18
"7","Jind",28,17,30,22,31,25,32,27,33,26,32,27,32,27,30,26,32,27,33,26,30,22,29,19
"8","kaithal",29,14,36,16,36,21,39,27,38,27,36,23,34,22,31,20,33,22,33,20,31,18,30,17
"9","karnal",26,12,34,18,35,21,38,25,37,25,34,25,32,25,30,25,31,24,32,22,28,18,27,13
"10","kurushetra",29,12,34,15,34,20,39,24,39,26,37,27,31,25,31,25,32,25,33,22,31,18,29,14
"11","mahendragargh",28,12,33,16,33,19,37,22,35,23,33,24,30,23,29,22,30,22,31,19,28,16,27,12
"12","Nuh",29,11,33,13,33,18,37,22,39,25,36,25,31,24,30,22,32,23,33,20,30,16,29,12
"13","Palwal",31,8,37,12,36,17,40,21,40,24,37,24,32,23,31,22,34,22,35,18,32,15,31,10
"14","panchkula",28.8888888888889,13.6111111111111,32.8333333333333,16.3333333333333,33.6111111111111,20.7222222222222,35.8125,24.2666666666667,39,27,37,27,31,25,30,25,32,25,33,22,30,20,28,14
"15","panipat",29,9,33,10,32,17,35.8125,24.2666666666667,36.4117647058824,25.2777777777778,34.8125,25.25,31.6470588235294,24.5294117647059,30.25,23.7647058823529,32.1875,24.1764705882353,33,21.5882352941176,30.125,13.6111111111111,29.0625,14.7777777777778
"16","rewari",30,12,34,15,34,20,39,24,40,25,36,24,31,23,30,22,33,23,33,21,30,18,30,14
"17","rohtak",28.8888888888889,13.6111111111111,32.8333333333333,16.3333333333333,33.6111111111111,20.7222222222222,35.8125,24.2666666666667,36.4117647058824,25.2777777777778,34.8125,25.25,31.6470588235294,24.5294117647059,30.25,23.7647058823529,32.1875,24.1764705882353,33,21.5882352941176,30.125,13.6111111111111,29.0625,14.7777777777778
"18","sirsa",28,8,33,11,34,16,38,21,33,24,34,24,29,23,28,23,30,22,31,19,28,15,28,10
"19","sonipat",28.8888888888889,20,32.8333333333333,19,30,20.7222222222222,35.8125,24.2666666666667,36.4117647058824,25.2777777777778,34.8125,25.25,31.6470588235294,24.5294117647059,30.25,23.7647058823529,32.1875,24.1764705882353,33,21.5882352941176,30.125,13.6111111111111,29.0625,14.7777777777778
"20","yamunanagar",29,13.6111111111111,27,16.3333333333333,33.6111111111111,24,35.8125,24.2666666666667,36.4117647058824,25.2777777777778,34.8125,25.25,31.6470588235294,24.5294117647059,30.25,23.7647058823529,32.1875,24.1764705882353,33,21.5882352941176,30.125,13.6111111111111,29.0625,16
"21","Charkhi dadri",28.8888888888889,22,32.8333333333333,16.3333333333333,31,20.7222222222222,23,24.2666666666667,36.4117647058824,24,34.8125,25.25,29,24.5294117647059,30.25,25,32.1875,26,33,21.5882352941176,30.125,13.6111111111111,29.0625,14.7777777777778
"22","Fatehbad",28,13.6111111111111,25,18,33.6111111111111,24,35.8125,24.2666666666667,35,27,34.8125,25.25,31.6470588235294,24,30.25,23.7647058823529,32.1875,24.1764705882353,33,19,30.125,18,29.0625,17
